Код на општината;Име на општина;Скор на општината;Ранк на општината;Број на мажи;Број на жени;Вкупен планиран буџет на општината за 21;Вкупен реализиран буџет на општината за 21;Родови јазови;Ранг ; Оценка;Просек;Жени;Мажи;Сооднос жени/мажи;Вработени лица;Ранг ; Оценка;Просек;Жени;Мажи;Сооднос жени/мажи;Износ на месечна плата (нето);Ранг ; Оценка;Просек;Жени;Мажи;Сооднос жени/мажи;Износ на месечна пензија;Ранг ; Оценка;Просек;Жени;Мажи;Сооднос жени/мажи;Учество во Советот на општината (советнички и советници);Ранг ; Оценка;Просек;Жени;Мажи;Сооднос жени/мажи;Градоначалнички мандати;Ранг ; Оценка;Просек;Жени;Мажи;Сооднос жени/мажи;Регистрирани годишни вработувања во 2021;Ранг ; Оценка;Просек;Жени;Мажи;Сооднос жени/мажи;Лица со високо образование;Ранг ; Оценка;Просек;Жени;Мажи;Сооднос жени/мажи;Овозможувачки услови;Ранг;Оценка;Просек;Број;Популација;Стапка;label1 - ова е само кај мене за да направам место за следниве податоци;Ранг;Оценка;Просек;Број;Популација;Стапка;Згрижени деца во државни градинки;Ранг;Оценка;Просек;Број;Популација;Стапка;** Моментален капацитет на градинките (во број на деца);Ранг;Оценка;Просек;Број;Популација;Стапка;label2;Ранг;Оценка;Просек;Број;Популација;Стапка;Државни детски градинки;Ранг;Оценка;Просек;Број;Популација;Стапка;** Приватни детски градинки;Ранг;Оценка;Просек;Број;Популација;Стапка;label3;Ранг;Оценка;Просек;Број;Популација;Стапка;Матични гинеколози;Ранг;Оценка;Просек;Број;Популација;Стапка;Родово одговорна општина;Ранг;Оценка;Просек;Број;Популација;Стапка;Kоординатор за еднакви можности;Ранг;Оценка;Просек;Број;Популација;Стапка;Комисија за еднакви можности;Ранг;Оценка;Просек;Број;Популација;Стапка;Годишен извештај поднесен до МТСП;Ранг;Оценка;Просек;Број;Популација;Стапка;Документ со посебни мерки за родова еднаквост;Ранг;Оценка;Просек;Број;Популација;Стапка;Трансформативност на планираните посебни мерки за родова еднаквост;Ранг;Оценка;Просек;Број;Популација;Стапка;label5;Ранг;Оценка;Просек;Број;Популација;Стапка;Назначени финансиски средства за реализација на родови програми;Ранг;Оценка;Просек;Број;Популација;Стапка;Потрошени финансиски средства за реализација на родови програми;Ранг;Оценка;Просек;Број;Популација;Стапка;Опис на општината
39,00;КОЧАНИ;48;11;15649;15993;696516000;641071183;Родови јазови;2;98;62,33;-;-;-;Вработени лица;5;0,97;0,67;5693;5864;0,97;Износ на месечна плата (нето);14;0,95;0,89;23.723;24.983;0,95;Износ на месечна пензија;23;0,88;0,84;13.307;15.185;0,88;Учество во Советот на општината (советнички и советници);16;0,73;0,58;8;11;0,73;Градоначалнички мандати;24;0;0,04;0;5;0;Регистрирани годишни вработувања во 2021;4;1,41;0,86;2852;2021;1,41;Лица со високо образование;18;1,21;1,02;2621;2168;1,21;Овозможувачки услови;28;31,64;24,3;-;-;-;;;;;деца во градинка;деца до 6 години;% на згрижени;Згрижени деца во државни градинки;31;26,05;20,19;507;1946;26,05;** Моментален капацитет на градинките (во број на деца); -;-;-;685;1946;-;;;;;градинки;деца до 6 години;стапка на 1000 деца;Државни детски градинки;39;0,51;1,3;1;1946;0,51;** Приватни детски градинки; -;-;-;1;1946;-;;;;;Број;жени над 15 години;жени над 15 години;Матични гинеколози;9;0,29;0,13;4;13829;0,29;Родово одговорна општина;16;39,85;27,4;;;;Kоординатор за еднакви можности;-;1;-;-;-;-;Комисија за еднакви можности;-;1;-;-;-;-;Годишен извештај поднесен до МТСП;-;1;-;-;-;-;Документ со посебни мерки за родова еднаквост;-;1;-;-;-;-;Трансформативност на планираните посебни мерки за родова еднаквост;-;2;-;-;-;-;;;;;;;;Назначени финансиски средства за реализација на родови програми;-;4,4%;3%;308.000;-;4,4%;Потрошени финансиски средства за реализација на родови програми;-;2,1%;2,6%;133340;-;2,1%;
56,00;ПЕХЧЕВО;48;12;2024;1965;117630436;94148378;Родови јазови;27;76;62,33;-;-;-;Вработени лица;38;0,69;0,67;570;825;0,69;Износ на месечна плата (нето);22;0,92;0,89;23.031;25.072;0,92;Износ на месечна пензија;46;0,83;0,84;12.923;15.504;0,83;Учество во Советот на општината (советнички и советници);2;1,2;0,58;6;5;1,2;Градоначалнички мандати;13;0;0,04;0;5;0;Регистрирани годишни вработувања во 2021;68;0,6;0,86;108;180;0,6;Лица со високо образование;33;1,1;1,02;298;271;1,1;Овозможувачки услови;4;50,83;24,3;-;-;-;;;;;деца во градинка;деца до 6 години;% на згрижени;Згрижени деца во државни градинки;4;46,6;20,19;89;191;46,6;** Моментален капацитет на градинките (во број на деца); -;-;-;93;191;-;;;;;градинки;деца до 6 години;стапка на 1000 деца;Државни детски градинки;5;5,24;1,3;1;191;5,24;** Приватни детски градинки; -;-;-;-;191;-;;;;;Број;жени над 15 години;жени над 15 години;Матични гинеколози;44;0;0,13;0;1726;0;Родово одговорна општина;32;31,75;27,4;;;;Kоординатор за еднакви можности;-;0;-;-;-;-;Комисија за еднакви можности;-;1;-;-;-;-;Годишен извештај поднесен до МТСП;-;1;-;-;-;-;Документ со посебни мерки за родова еднаквост;-;0;-;-;-;-;Трансформативност на планираните посебни мерки за родова еднаквост;-;3;-;-;-;-;;;;;;;;Назначени финансиски средства за реализација на родови програми;-;0,0%;3%;0;-;0,0%;Потрошени финансиски средства за реализација на родови програми;-;0,0%;2,6%;0;-;0,0%;
65,00;СВЕТИ НИКОЛЕ;47;13;7836;7492;460555291;343384631;Родови јазови;21;79;62,33;-;-;-;Вработени лица;18;0,85;0,67;2572;3033;0,85;Износ на месечна плата (нето);8;0,97;0,89;22.874;23.487;0,97;Износ на месечна пензија;12;0,9;0,84;13.761;15.259;0,9;Учество во Советот на општината (советнички и советници);51;0,5;0,58;5;10;0,5;Градоначалнички мандати;54;0;0,04;0;5;0;Регистрирани годишни вработувања во 2021;22;0,97;0,86;465;477;0,97;Лица со високо образование;42;1,04;1,02;1074;1030;1,04;Овозможувачки услови;26;33,07;24,3;-;-;-;;;;;деца во градинка;деца до 6 години;% на згрижени;Згрижени деца во државни градинки;20;34,05;20,19;315;925;34,05;** Моментален капацитет на градинките (во број на деца); -;-;-;365;925;-;;;;;градинки;деца до 6 години;стапка на 1000 деца;Државни детски градинки;30;1,08;1,3;1;925;1,08;** Приватни детски градинки; -;-;-;-;925;-;;;;;Број;жени над 15 години;жени над 15 години;Матични гинеколози;34;0,15;0,13;1;6516;0,15;Родово одговорна општина;12;44,43;27,4;;;;Kоординатор за еднакви можности;-;1;-;-;-;-;Комисија за еднакви можности;-;1;-;-;-;-;Годишен извештај поднесен до МТСП;-;1;-;-;-;-;Документ со посебни мерки за родова еднаквост;-;1;-;-;-;-;Трансформативност на планираните посебни мерки за родова еднаквост;-;3;-;-;-;-;;;;;;;;Назначени финансиски средства за реализација на родови програми;-;2,2%;3%;100.000;-;2,2%;Потрошени финансиски средства за реализација на родови програми;-;0,0%;2,6%;0;-;0,0%;
23,00;ДЕМИР КАПИЈА;46;14;1953;1830;130802691;138153112;Родови јазови;47;60;62,33;-;-;-;Вработени лица;40;0,68;0,67;543;796;0,68;Износ на месечна плата (нето);36;0,9;0,89;20.732;22.949;0,9;Износ на месечна пензија;49;0,83;0,84;13.055;15.768;0,83;Учество во Советот на општината (советнички и советници);55;0,5;0,58;3;6;0,5;Градоначалнички мандати;58;0;0,04;0;5;0;Регистрирани годишни вработувања во 2021;54;0,76;0,86;102;135;0,76;Лица со високо образование;20;1,2;1,02;155;129;1,2;Овозможувачки услови;12;41,18;24,3;-;-;-;;;;;деца во градинка;деца до 6 години;% на згрижени;Згрижени деца во државни градинки;14;37,92;20,19;91;240;37,92;** Моментален капацитет на градинките (во број на деца); -;-;-;127;240;-;;;;;градинки;деца до 6 години;стапка на 1000 деца;Државни детски градинки;6;4,17;1,3;1;240;4,17;** Приватни детски градинки; -;-;-;-;240;-;;;;;Број;жени над 15 години;жени над 15 години;Матични гинеколози;45;0;0,13;0;1569;0;Родово одговорна општина;8;44,89;27,4;;;;Kоординатор за еднакви можности;-;1;-;-;-;-;Комисија за еднакви можности;-;1;-;-;-;-;Годишен извештај поднесен до МТСП;-;1;-;-;-;-;Документ со посебни мерки за родова еднаквост;-;1;-;-;-;-;Трансформативност на планираните посебни мерки за родова еднаквост;-;3;-;-;-;-;;;;;;;;Назначени финансиски средства за реализација на родови програми;-;7,6%;3%;100.000;-;7,6%;Потрошени финансиски средства за реализација на родови програми;-;0,0%;2,6%;0;-;0,0%;
27,00;ЃОРЧЕ ПЕТРОВ;45;15;21943;22811;914300105;565245410;Родови јазови;13;84;62,33;-;-;-;Вработени лица;9;0,94;0,67;9425;9996;0,94;Износ на месечна плата (нето);52;0,87;0,89;27.502;31.694;0,87;Износ на месечна пензија;43;0,84;0,84;16.419;19.480;0,84;Учество во Советот на општината (советнички и советници);3;0,92;0,58;11;12;0,92;Градоначалнички мандати;14;0;0,04;0;5;0;Регистрирани годишни вработувања во 2021;23;0,96;0,86;1192;1248;0,96;Лица со високо образование;8;1,29;1,02;5530;4290;1,29;Овозможувачки услови;42;26,82;24,3;-;-;-;;;;;деца во градинка;деца до 6 години;% на згрижени;Згрижени деца во државни градинки;34;25,46;20,19;805;3162;25,46;** Моментален капацитет на градинките (во број на деца); -;-;-;730;3162;-;;;;;градинки;деца до 6 години;стапка на 1000 деца;Државни детски градинки;48;0,32;1,3;1;3162;0,32;** Приватни детски градинки; -;-;-;-;3162;-;;;;;Број;жени над 15 години;жени над 15 години;Матични гинеколози;24;0,2;0,13;4;19645;0,2;Родово одговорна општина;13;44,42;27,4;;;;Kоординатор за еднакви можности;-;1;-;-;-;-;Комисија за еднакви можности;-;1;-;-;-;-;Годишен извештај поднесен до МТСП;-;1;-;-;-;-;Документ со посебни мерки за родова еднаквост;-;1;-;-;-;-;Трансформативност на планираните посебни мерки за родова еднаквост;-;3;-;-;-;-;;;;;;;;Назначени финансиски средства за реализација на родови програми;-;2,1%;3%;190.000;-;2,1%;Потрошени финансиски средства за реализација на родови програми;-;0,0%;2,6%;0;-;0,0%;
33,00;КАВАДАРЦИ;45;16;17906;17835;1197184000;988359439;Родови јазови;50;58;62,33;-;-;-;Вработени лица;24;0,82;0,67;6829;8313;0,82;Износ на месечна плата (нето);61;0,86;0,89;23.237;26.939;0,86;Износ на месечна пензија;44;0,84;0,84;13.823;16.520;0,84;Учество во Советот на општината (советнички и советници);62;0,46;0,58;6;13;0,46;Градоначалнички мандати;65;0;0,04;0;5;0;Регистрирани годишни вработувања во 2021;63;0,65;0,86;1634;2517;0,65;Лица со високо образование;17;1,22;1,02;3223;2636;1,22;Овозможувачки услови;6;44,82;24,3;-;-;-;;;;;деца во градинка;деца до 6 години;% на згрижени;Згрижени деца во државни градинки;10;40,73;20,19;1009;2477;40,73;** Моментален капацитет на градинките (во број на деца); -;-;-;1037;2477;-;;;;;градинки;деца до 6 години;стапка на 1000 деца;Државни детски градинки;43;0,4;1,3;1;2477;0,4;** Приватни детски градинки; -;-;-;-;2477;-;;;;;Број;жени над 15 години;жени над 15 години;Матични гинеколози;3;0,39;0,13;6;15233;0,39;Родово одговорна општина;24;38;27,4;;;;Kоординатор за еднакви можности;-;1;-;-;-;-;Комисија за еднакви можности;-;1;-;-;-;-;Годишен извештај поднесен до МТСП;-;1;-;-;-;-;Документ со посебни мерки за родова еднаквост;-;1;-;-;-;-;Трансформативност на планираните посебни мерки за родова еднаквост;-;2;-;-;-;-;;;;;;;;Назначени финансиски средства за реализација на родови програми;-;0,9%;3%;110.000;-;0,9%;Потрошени финансиски средства за реализација на родови програми;-;0,0%;2,6%;0;-;0,0%;
4,00;БИТОЛА;45;17;41827;43299;2420883678;1704299575;Родови јазови;23;78;62,33;-;-;-;Вработени лица;17;0,86;0,67;15577;18091;0,86;Износ на месечна плата (нето);70;0,84;0,89;24.531;29.343;0,84;Износ на месечна пензија;64;0,81;0,84;15.186;18.853;0,81;Учество во Советот на општината (советнички и советници);36;0,63;0,58;12;19;0,63;Градоначалнички мандати;7;0,25;0,04;1;4;0,25;Регистрирани годишни вработувања во 2021;27;0,92;0,86;5594;6092;0,92;Лица со високо образование;15;1,26;1,02;10543;8375;1,26;Овозможувачки услови;38;27,21;24,3;-;-;-;;;;;деца во градинка;деца до 6 години;% на згрижени;Згрижени деца во државни градинки;42;21,37;20,19;1179;5517;21,37;** Моментален капацитет на градинките (во број на деца); -;-;-;1331;5517;-;;;;;градинки;деца до 6 години;стапка на 1000 деца;Државни детски градинки;46;0,36;1,3;2;5517;0,36;** Приватни детски градинки; -;-;-;3;5517;-;;;;;Број;жени над 15 години;жени над 15 години;Матични гинеколози;13;0,27;0,13;10;37327;0,27;Родово одговорна општина;6;45,63;27,4;;;;Kоординатор за еднакви можности;-;1;-;-;-;-;Комисија за еднакви можности;-;1;-;-;-;-;Годишен извештај поднесен до МТСП;-;1;-;-;-;-;Документ со посебни мерки за родова еднаквост;-;1;-;-;-;-;Трансформативност на планираните посебни мерки за родова еднаквост;-;3;-;-;-;-;;;;;;;;Назначени финансиски средства за реализација на родови програми;-;2,1%;3%;500.000;-;2,1%;Потрошени финансиски средства за реализација на родови програми;-;2,3%;2,6%;385000;-;2,3%;
59,00;ПРОБИШТИП;43;18;6800;6600;395475554;293204274;Родови јазови;58;51;62,33;-;-;-;Вработени лица;23;0,82;0,67;2372;2892;0,82;Износ на месечна плата (нето);78;0,77;0,89;21.236;27.656;0,77;Износ на месечна пензија;68;0,79;0,84;14.349;18.234;0,79;Учество во Советот на општината (советнички и советници);28;0,67;0,58;6;9;0,67;Градоначалнички мандати;35;0;0,04;0;5;0;Регистрирани годишни вработувања во 2021;45;0,81;0,86;551;681;0,81;Лица со високо образование;39;1,05;1,02;930;886;1,05;Овозможувачки услови;17;38,47;24,3;-;-;-;;;;;деца во градинка;деца до 6 години;% на згрижени;Згрижени деца во државни градинки;13;39,05;20,19;271;694;39,05;** Моментален капацитет на градинките (во број на деца); -;-;-;464;694;-;;;;;градинки;деца до 6 години;стапка на 1000 деца;Државни детски градинки;22;1,44;1,3;1;694;1,44;** Приватни детски градинки; -;-;-;-;694;-;;;;;Број;жени над 15 години;жени над 15 години;Матични гинеколози;29;0,17;0,13;1;5765;0,17;Родово одговорна општина;14;44,25;27,4;;;;Kоординатор за еднакви можности;-;1;-;-;-;-;Комисија за еднакви можности;-;1;-;-;-;-;Годишен извештај поднесен до МТСП;-;1;-;-;-;-;Документ со посебни мерки за родова еднаквост;-;1;-;-;-;-;Трансформативност на планираните посебни мерки за родова еднаквост;-;3;-;-;-;-;;;;;;;;Назначени финансиски средства за реализација на родови програми;-;2,5%;3%;100.000;-;2,5%;Потрошени финансиски средства за реализација на родови програми;-;-;2,6%;нема информација;-;-;
1,00;АЕРОДРОМ;42;19;37055;40490;1434323000;1082524952;Родови јазови;20;79;62,33;-;-;-;Вработени лица;3;1,02;0,67;17839;17430;1,02;Износ на месечна плата (нето);59;0,86;0,89;33.110;38.701;0,86;Износ на месечна пензија;32;0,87;0,84;18.690;21.531;0,87;Учество во Советот на општината (советнички и советници);21;0,69;0,58;11;16;0,69;Градоначалнички мандати;29;0;0,04;0;5;0;Регистрирани годишни вработувања во 2021;37;0,87;0,86;3968;4536;0,87;Лица со високо образование;13;1,26;1,02;14350;11362;1,26;Овозможувачки услови;36;27,35;24,3;-;-;-;;;;;деца во градинка;деца до 6 години;% на згрижени;Згрижени деца во државни градинки;25;30,27;20,19;1858;6139;30,27;** Моментален капацитет на градинките (во број на деца); -;-;-;2189;6139;-;;;;;градинки;деца до 6 години;стапка на 1000 деца;Државни детски градинки;47;0,33;1,3;2;6139;0,33;** Приватни детски градинки; -;-;-;2;6139;-;;;;;Број;жени над 15 години;жени над 15 години;Матични гинеколози;35;0,15;0,13;5;34480;0,15;Родово одговорна општина;23;38,06;27,4;;;;Kоординатор за еднакви можности;-;1;-;-;-;-;Комисија за еднакви можности;-;1;-;-;-;-;Годишен извештај поднесен до МТСП;-;1;-;-;-;-;Документ со посебни мерки за родова еднаквост;-;1;-;-;-;-;Трансформативност на планираните посебни мерки за родова еднаквост;-;2;-;-;-;-;;;;;;;;Назначени финансиски средства за реализација на родови програми;-;0,7%;3%;104.000;-;0,7%;Потрошени финансиски средства за реализација на родови програми;-;-;2,6%;нема информација;-;-;
3,00;БЕРОВО;42;20;5452;5445;334580000;290364423;Родови јазови;11;85;62,33;-;-;-;Вработени лица;20;0,83;0,67;1568;1890;0,83;Износ на месечна плата (нето);23;0,92;0,89;22.368;24.337;0,92;Износ на месечна пензија;18;0,89;0,84;13.030;14.559;0,89;Учество во Советот на општината (советнички и советници);5;0,88;0,58;7;8;0,88;Градоначалнички мандати;16;0;0,04;0;5;0;Регистрирани годишни вработувања во 2021;21;0,99;0,86;261;264;0,99;Лица со високо образование;34;1,09;1,02;916;837;1,09;Овозможувачки услови;7;42,92;24,3;-;-;-;;;;;деца во градинка;деца до 6 години;% на згрижени;Згрижени деца во државни градинки;9;41,22;20,19;223;541;41,22;** Моментален капацитет на градинките (во број на деца); -;-;-;238;541;-;;;;;градинки;деца до 6 години;стапка на 1000 деца;Државни детски градинки;17;1,85;1,3;1;541;1,85;** Приватни детски градинки; -;-;-;-;541;-;;;;;Број;жени над 15 години;жени над 15 години;Матични гинеколози;21;0,21;0,13;1;4804;0,21;Родово одговорна општина;51;19,33;27,4;;;;Kоординатор за еднакви можности;-;1;-;-;-;-;Комисија за еднакви можности;-;1;-;-;-;-;Годишен извештај поднесен до МТСП;-;1;-;-;-;-;Документ со посебни мерки за родова еднаквост;-;0;-;-;-;-;Трансформативност на планираните посебни мерки за родова еднаквост;-;0;-;-;-;-;;;;;;;;Назначени финансиски средства за реализација на родови програми;-;0,9%;3%;30.000;-;0,9%;Потрошени финансиски средства за реализација на родови програми;-;0,0%;2,6%;0;-;0,0%;
77,00;ЧЕШИНОВО-ОБЛЕШЕВО;42;21;2795;2693;133114155;107268239;Родови јазови;17;82;62,33;-;-;-;Вработени лица;22;0,82;0,67;923;1123;0,82;Износ на месечна плата (нето);4;0,98;0,89;22.341;22.743;0,98;Износ на месечна пензија;5;0,93;0,84;11.315;12.196;0,93;Учество во Советот на општината (советнички и советници);78;0,22;0,58;2;9;0,22;Градоначалнички мандати;78;0;0,04;0;5;0;Регистрирани годишни вработувања во 2021;16;1,05;0,86;128;122;1,05;Лица со високо образование;7;1,32;1,02;204;155;1,32;Овозможувачки услови;19;37,75;24,3;-;-;-;;;;;деца во градинка;деца до 6 години;% на згрижени;Згрижени деца во државни градинки;15;37,58;20,19;112;298;37,58;** Моментален капацитет на градинките (во број на деца); -;-;-;120;298;-;;;;;градинки;деца до 6 години;стапка на 1000 деца;Државни детски градинки;11;3,36;1,3;1;298;3,36;** Приватни детски градинки; -;-;-;-;298;-;;;;;Број;жени над 15 години;жени над 15 години;Матични гинеколози;50;0;0,13;0;2390;0;Родово одговорна општина;37;25,69;27,4;;;;Kоординатор за еднакви можности;-;1;-;-;-;-;Комисија за еднакви можности;-;1;-;-;-;-;Годишен извештај поднесен до МТСП;-;0;-;-;-;-;Документ со посебни мерки за родова еднаквост;-;0;-;-;-;-;Трансформативност на планираните посебни мерки за родова еднаквост;-;2;-;-;-;-;;;;;;;;Назначени финансиски средства за реализација на родови програми;-;2,3%;3%;30.000;-;2,3%;Потрошени финансиски средства за реализација на родови програми;-;-;2,6%;нема информација;-;-;
41,00;КРИВА ПАЛАНКА;41;22;9314;8752;542000997;425482666;Родови јазови;38;71;62,33;-;-;-;Вработени лица;39;0,68;0,67;2295;3358;0,68;Износ на месечна плата (нето);63;0,86;0,89;22.059;25.614;0,86;Износ на месечна пензија;51;0,83;0,84;12.761;15.302;0,83;Учество во Советот на општината (советнички и советници);18;0,73;0,58;8;11;0,73;Градоначалнички мандати;26;0;0,04;0;5;0;Регистрирани годишни вработувања во 2021;9;1,13;0,86;654;578;1,13;Лица со високо образование;24;1,16;1,02;1197;1034;1,16;Овозможувачки услови;24;34,94;24,3;-;-;-;;;;;деца во градинка;деца до 6 години;% на згрижени;Згрижени деца во државни градинки;27;29,63;20,19;272;918;29,63;** Моментален капацитет на градинките (во број на деца); -;-;-;340;918;-;;;;;градинки;деца до 6 години;стапка на 1000 деца;Државни детски градинки;29;1,09;1,3;1;918;1,09;** Приватни детски градинки; -;-;-;-;918;-;;;;;Број;жени над 15 години;жени над 15 години;Матични гинеколози;14;0,26;0,13;2;7667;0,26;Родово одговорна општина;31;31,8;27,4;;;;Kоординатор за еднакви можности;-;1;-;-;-;-;Комисија за еднакви можности;-;1;-;-;-;-;Годишен извештај поднесен до МТСП;-;1;-;-;-;-;Документ со посебни мерки за родова еднаквост;-;1;-;-;-;-;Трансформативност на планираните посебни мерки за родова еднаквост;-;1;-;-;-;-;;;;;;;;Назначени финансиски средства за реализација на родови програми;-;0,6%;3%;35.000;-;0,6%;Потрошени финансиски средства за реализација на родови програми;-;0,8%;2,6%;35000;-;0,8%;
14,00;ВИНИЦА;41;23;7219;7270;325500000;294040146;Родови јазови;8;87;62,33;-;-;-;Вработени лица;11;0,9;0,67;2373;2636;0,9;Износ на месечна плата (нето);19;0,93;0,89;23.035;24.804;0,93;Износ на месечна пензија;15;0,9;0,84;12.699;14.149;0,9;Учество во Советот на општината (советнички и советници);53;0,5;0,58;5;10;0,5;Градоначалнички мандати;56;0;0,04;0;5;0;Регистрирани годишни вработувања во 2021;5;1,38;0,86;855;619;1,38;Лица со високо образование;28;1,13;1,02;940;834;1,13;Овозможувачки услови;14;39,26;24,3;-;-;-;;;;;деца во градинка;деца до 6 години;% на згрижени;Згрижени деца во државни градинки;24;32,46;20,19;297;915;32,46;** Моментален капацитет на градинките (во број на деца); -;-;-;361;915;-;;;;;градинки;деца до 6 години;стапка на 1000 деца;Државни детски градинки;28;1,09;1,3;1;915;1,09;** Приватни детски градинки; -;-;-;-;915;-;;;;;Број;жени над 15 години;жени над 15 години;Матични гинеколози;6;0,32;0,13;2;6243;0,32;Родово одговорна општина;54;19,25;27,4;;;;Kоординатор за еднакви можности;-;1;-;-;-;-;Комисија за еднакви можности;-;1;-;-;-;-;Годишен извештај поднесен до МТСП;-;1;-;-;-;-;Документ со посебни мерки за родова еднаквост;-;0;-;-;-;-;Трансформативност на планираните посебни мерки за родова еднаквост;-;0;-;-;-;-;;;;;;;;Назначени финансиски средства за реализација на родови програми;-;0,0%;3%;0;-;0,0%;Потрошени финансиски средства за реализација на родови програми;-;0,0%;2,6%;0;-;0,0%;
16,00;ГАЗИ БАБА;41;24;34366;35129;1410789000;1324411084;Родови јазови;36;71;62,33;-;-;-;Вработени лица;19;0,84;0,67;11554;13777;0,84;Износ на месечна плата (нето);58;0,86;0,89;25.250;29.202;0,86;Износ на месечна пензија;58;0,82;0,84;14.911;18.273;0,82;Учество во Советот на општината (советнички и советници);23;0,69;0,58;11;16;0,69;Градоначалнички мандати;31;0;0,04;0;5;0;Регистрирани годишни вработувања во 2021;44;0,81;0,86;4124;5111;0,81;Лица со високо образование;3;1,39;1,02;5318;3821;1,39;Овозможувачки услови;41;27,07;24,3;-;-;-;;;;;деца во градинка;деца до 6 години;% на згрижени;Згрижени деца во државни градинки;29;27,8;20,19;1468;5281;27,8;** Моментален капацитет на градинките (во број на деца); -;-;-;1701;5281;-;;;;;градинки;деца до 6 години;стапка на 1000 деца;Државни детски градинки;44;0,38;1,3;2;5281;0,38;** Приватни детски градинки; -;-;-;-;5281;-;;;;;;;;Матични гинеколози;31;0,17;0,13;5;29485;0,17;Родово одговорна општина;17;39,03;27,4;;;;Kоординатор за еднакви можности;-;1;-;-;-;-;Комисија за еднакви можности;-;1;-;-;-;-;Годишен извештај поднесен до МТСП;-;1;-;-;-;-;Документ со посебни мерки за родова еднаквост;-;1;-;-;-;-;Трансформативност на планираните посебни мерки за родова еднаквост;-;2;-;-;-;-;;;;;;;;Назначени финансиски средства за реализација на родови програми;-;1,4%;3%;200.000;-;1,4%;Потрошени финансиски средства за реализација на родови програми;-;1,3%;2,6%;170000;-;1,3%;
51,00;НЕГОТИНО;40;25;9149;9039;479390656;390565335;Родови јазови;45;62;62,33;-;-;-;Вработени лица;29;0,77;0,67;3255;4240;0,77;Износ на месечна плата (нето);37;0,9;0,89;21.972;24.357;0,9;Износ на месечна пензија;40;0,84;0,84;13.943;16.659;0,84;Учество во Советот на општината (советнички и советници);54;0,5;0,58;5;10;0,5;Градоначалнички мандати;57;0;0,04;0;5;0;Регистрирани годишни вработувања во 2021;53;0,76;0,86;761;1004;0,76;Лица со високо образование;26;1,15;1,02;1330;1161;1,15;Овозможувачки услови;9;42,57;24,3;-;-;-;;;;;деца во градинка;деца до 6 години;% на згрижени;Згрижени деца во државни градинки;7;43,81;20,19;545;1244;43,81;** Моментален капацитет на градинките (во број на деца); -;-;-;605;1244;-;;;;;градинки;деца до 6 години;стапка на 1000 деца;Државни детски градинки;32;0,8;1,3;1;1244;0,8;** Приватни детски градинки; -;-;-;-;1244;-;;;;;;;;Матични гинеколози;15;0,26;0,13;2;7716;0,26;Родово одговорна општина;38;25,5;27,4;;;;Kоординатор за еднакви можности;-;1;-;-;-;-;Комисија за еднакви можности;-;1;-;-;-;-;Годишен извештај поднесен до МТСП;-;1;-;-;-;-;Документ со посебни мерки за родова еднаквост;-;0;-;-;-;-;Трансформативност на планираните посебни мерки за родова еднаквост;-;1;-;-;-;-;;;;;;;;Назначени финансиски средства за реализација на родови програми;-;0,0%;3%;0;-;0,0%;Потрошени финансиски средства за реализација на родови програми;-;-;2,6%;нема информација;-;-;
62,00;РЕСЕН;39;26;7209;7197;365461416;262196470;Родови јазови;26;76;62,33;-;-;-;Вработени лица;28;0,77;0,67;2053;2675;0,77;Износ на месечна плата (нето);24;0,92;0,89;23.094;24.968;0,92;Износ на месечна пензија;19;0,89;0,84;14.259;16.048;0,89;Учество во Советот на општината (советнички и советници);6;0,88;0,58;7;8;0,88;Градоначалнички мандати;17;0;0,04;0;5;0;Регистрирани годишни вработувања во 2021;52;0,77;0,86;380;491;0,77;Лица со високо образование;46;1,01;1,02;1366;1354;1,01;Овозможувачки услови;33;27,76;24,3;-;-;-;;;;;деца во градинка;деца до 6 години;% на згрижени;Згрижени деца во државни градинки;38;24,14;20,19;196;812;24,14;** Моментален капацитет на градинките (во број на деца); -;-;-;231;812;-;;;;;градинки;деца до 6 години;стапка на 1000 деца;Државни детски градинки;25;1,23;1,3;1;812;1,23;** Приватни детски градинки; -;-;-;-;812;-;;;;;;;;Матични гинеколози;33;0,16;0,13;1;6265;0,16;Родово одговорна општина;33;31,75;27,4;;;;Kоординатор за еднакви можности;-;1;-;-;-;-;Комисија за еднакви можности;-;1;-;-;-;-;Годишен извештај поднесен до МТСП;-;1;-;-;-;-;Документ со посебни мерки за родова еднаквост;-;1;-;-;-;-;Трансформативност на планираните посебни мерки за родова еднаквост;-;1;-;-;-;-;;;;;;;;Назначени финансиски средства за реализација на родови програми;-;0,1%;3%;5.000;-;0,1%;Потрошени финансиски средства за реализација на родови програми;-;-;2,6%;нема информација;-;-;
