Код на општината;Име на општина;Скор на општината;Ранк на општината;Број на мажи;Број на жени;Вкупен планиран буџет на општината за 21;Вкупен реализиран буџет на општината за 21;Опис на општината;Стапка на морталитет на доенчиња;Стапка на матернален морталитет;Број на парцели;Број на објекти;Број на фирми;Број на станови;Родови јазови;Ранг ; Оценка;Просек;Жени;Мажи;Сооднос жени/мажи;Регистрирани годишни вработувања во 2021;Ранг ; Оценка;Просек;Жени;Мажи;Сооднос жени/мажи;Вработени лица;Ранг ; Оценка;Просек;Жени;Мажи;Сооднос жени/мажи;Лица со високо образование;Ранг ; Оценка;Просек;Жени;Мажи;Сооднос жени/мажи;Износ на месечна плата (нето);Ранг ; Оценка;Просек;Жени;Мажи;Сооднос жени/мажи;Износ на месечна пензија;Ранг ; Оценка;Просек;Жени;Мажи;Сооднос жени/мажи;Учество во Советот на општината (советнички и советници);Ранг ; Оценка;Просек;Жени;Мажи;Сооднос жени/мажи;Градоначалнички мандати;Ранг ; Оценка;Просек;Жени;Мажи;Сооднос жени/мажи;Овозможувачки услови;Ранг;Оценка;Просек;Број;Популација;Стапка;label1 - ова е само кај мене за да направам место за следниве податоци;Ранг;Оценка;Просек;Број;Популација;Стапка;Згрижени деца во државни градинки;Ранг;Оценка;Просек;Број;Популација;Стапка;** Моментален капацитет на градинките (во број на деца);Ранг;Оценка;Просек;Број;Популација;Стапка;label2;Ранг;Оценка;Просек;Број;Популација;Стапка;Државни детски градинки;Ранг;Оценка;Просек;Број;Популација;Стапка;** Приватни детски градинки;Ранг;Оценка;Просек;Број;Популација;Стапка;label3;Ранг;Оценка;Просек;Број;Популација;Стапка;Матични гинеколози;Ранг;Оценка;Просек;Број;Популација;Стапка;Родово одговорна општина;Ранг;Оценка;Просек;Број;Популација;Стапка;Kоординатор за еднакви можности;Ранг;Оценка;Просек;Број;Популација;Стапка;Комисија за еднакви можности;Ранг;Оценка;Просек;Број;Популација;Стапка;Годишен извештај поднесен до МТСП;Ранг;Оценка;Просек;Број;Популација;Стапка;Документ со посебни мерки за родова еднаквост;Ранг;Оценка;Просек;Број;Популација;Стапка;Трансформативност на планираните посебни мерки за родова еднаквост;Ранг;Оценка;Просек;Број;Популација;Стапка;label5;Ранг;Оценка;Просек;Број;Популација;Стапка;Назначени финансиски средства за реализација на родови програми;Ранг;Оценка;Просек;Број;Популација;Стапка;Потрошени финансиски средства за реализација на родови програми;Ранг;Оценка;Просек;Број;Популација;Стапка
3,00;БЕРОВО;41,95;20;5452;5445;334580000;290364423;/;/;/;/;/;/;/;Родови јазови;11;85,25;62,33;-;-;-;Регистрирани годишни вработувања во 2021;21;0,99;0,86;261;264;0,99;Вработени лица;20;0,83;0,67;1568;1890;0,83;Лица со високо образование;34;1,09;1,02;916;837;1,09;Износ на месечна плата (нето);23;0,92;0,89;22368;24337;0,92;Износ на месечна пензија;18;0,89;0,84;13030;14559;0,89;Учество во Советот на општината (советнички и советници);5;0,88;0,58;7;8;0,88;Градоначалнички мандати;16;0;0,04;0;5;0;Овозможувачки услови;7;42,92;24,3;-;-;-;;;;;деца во градинка;деца до 6 години;% на згрижени;Згрижени деца во државни градинки;9;41,22;20,19;223;541;41,22;** Моментален капацитет на градинките (во број на деца);-;-;-;238;541;-;;;;;градинки;деца до 6 години;стапка на 1000 деца;Државни детски градинки;17;1,85;1,3;1;541;1,85;** Приватни детски градинки;-;-;-;-;541;-;;;;;Број;жени над 15 години;жени над 15 години;Матични гинеколози;21;0,21;0,13;1;4804;0,21;Родово одговорна општина;51;19,33;27,4;;;;Kоординатор за еднакви можности;-;1;-;-;-;-;Комисија за еднакви можности;-;1;-;-;-;-;Годишен извештај поднесен до МТСП;-;1;-;-;-;-;Документ со посебни мерки за родова еднаквост;-;0;-;-;-;-;Трансформативност на планираните посебни мерки за родова еднаквост;-;0;-;-;-;-;;;;;средства во денари;;% од Буџетот за 2040;Назначени финансиски средства за реализација на родови програми;-;0,9%;3%;30000;-;0,9%;Потрошени финансиски средства за реализација на родови програми;-;0,0%;2,6%;0;;0,0%
77,00;ЧЕШИНОВО-ОБЛЕШЕВО;41,73;21;2795;2693;133114155;107268239;/;/;/;/;/;/;/;Родови јазови;17;81,75;62,33;-;-;-;Регистрирани годишни вработувања во 2021;16;1,05;0,86;128;122;1,05;Вработени лица;22;0,82;0,67;923;1123;0,82;Лица со високо образование;7;1,32;1,02;204;155;1,32;Износ на месечна плата (нето);4;0,98;0,89;22341;22743;0,98;Износ на месечна пензија;5;0,93;0,84;11315;12196;0,93;Учество во Советот на општината (советнички и советници);78;0,22;0,58;2;9;0,22;Градоначалнички мандати;78;0;0,04;0;5;0;Овозможувачки услови;19;37,75;24,3;-;-;-;;;;;деца во градинка;деца до 6 години;% на згрижени;Згрижени деца во државни градинки;15;37,58;20,19;112;298;37,58;** Моментален капацитет на градинките (во број на деца);-;-;-;120;298;-;;;;;градинки;деца до 6 години;стапка на 1000 деца;Државни детски градинки;11;3,36;1,3;1;298;3,36;** Приватни детски градинки;-;-;-;-;298;-;;;;;Број;жени над 15 години;жени над 15 години;Матични гинеколози;50;0;0,13;0;2390;0;Родово одговорна општина;37;25,69;27,4;;;;Kоординатор за еднакви можности;-;1;-;-;-;-;Комисија за еднакви можности;-;1;-;-;-;-;Годишен извештај поднесен до МТСП;-;0;-;-;-;-;Документ со посебни мерки за родова еднаквост;-;0;-;-;-;-;Трансформативност на планираните посебни мерки за родова еднаквост;-;2;-;-;-;-;;;;;средства во денари;;% од Буџетот за 2041;Назначени финансиски средства за реализација на родови програми;-;2,3%;3%;30000;-;2,3%;Потрошени финансиски средства за реализација на родови програми;-;-;2,6%;нема информација;;-
41,00;КРИВА ПАЛАНКА;41,11;22;9314;8752;542000997;425482666;/;/;/;/;/;/;/;Родови јазови;38;71,08;62,33;-;-;-;Регистрирани годишни вработувања во 2021;9;1,13;0,86;654;578;1,13;Вработени лица;39;0,68;0,67;2295;3358;0,68;Лица со високо образование;24;1,16;1,02;1197;1034;1,16;Износ на месечна плата (нето);63;0,86;0,89;22059;25614;0,86;Износ на месечна пензија;51;0,83;0,84;12761;15302;0,83;Учество во Советот на општината (советнички и советници);18;0,73;0,58;8;11;0,73;Градоначалнички мандати;26;0;0,04;0;5;0;Овозможувачки услови;24;34,94;24,3;-;-;-;;;;;деца во градинка;деца до 6 години;% на згрижени;Згрижени деца во државни градинки;27;29,63;20,19;272;918;29,63;** Моментален капацитет на градинките (во број на деца);-;-;-;340;918;-;;;;;градинки;деца до 6 години;стапка на 1000 деца;Државни детски градинки;29;1,09;1,3;1;918;1,09;** Приватни детски градинки;-;-;-;-;918;-;;;;;Број;жени над 15 години;жени над 15 години;Матични гинеколози;14;0,26;0,13;2;7667;0,26;Родово одговорна општина;31;31,8;27,4;;;;Kоординатор за еднакви можности;-;1;-;-;-;-;Комисија за еднакви можности;-;1;-;-;-;-;Годишен извештај поднесен до МТСП;-;1;-;-;-;-;Документ со посебни мерки за родова еднаквост;-;1;-;-;-;-;Трансформативност на планираните посебни мерки за родова еднаквост;-;1;-;-;-;-;;;;;средства во денари;;% од Буџетот за 2042;Назначени финансиски средства за реализација на родови програми;-;0,6%;3%;35000;-;0,6%;Потрошени финансиски средства за реализација на родови програми;-;0,8%;2,6%;35000;;0,8%
14,00;ВИНИЦА;40,89;23;7219;7270;325500000;294040146;/;/;/;/;/;/;/;Родови јазови;8;87,44;62,33;-;-;-;Регистрирани годишни вработувања во 2021;5;1,38;0,86;855;619;1,38;Вработени лица;11;0,9;0,67;2373;2636;0,9;Лица со високо образование;28;1,13;1,02;940;834;1,13;Износ на месечна плата (нето);19;0,93;0,89;23035;24804;0,93;Износ на месечна пензија;15;0,9;0,84;12699;14149;0,9;Учество во Советот на општината (советнички и советници);53;0,5;0,58;5;10;0,5;Градоначалнички мандати;56;0;0,04;0;5;0;Овозможувачки услови;14;39,26;24,3;-;-;-;;;;;деца во градинка;деца до 6 години;% на згрижени;Згрижени деца во државни градинки;24;32,46;20,19;297;915;32,46;** Моментален капацитет на градинките (во број на деца);-;-;-;361;915;-;;;;;градинки;деца до 6 години;стапка на 1000 деца;Државни детски градинки;28;1,09;1,3;1;915;1,09;** Приватни детски градинки;-;-;-;-;915;-;;;;;Број;жени над 15 години;жени над 15 години;Матични гинеколози;6;0,32;0,13;2;6243;0,32;Родово одговорна општина;54;19,25;27,4;;;;Kоординатор за еднакви можности;-;1;-;-;-;-;Комисија за еднакви можности;-;1;-;-;-;-;Годишен извештај поднесен до МТСП;-;1;-;-;-;-;Документ со посебни мерки за родова еднаквост;-;0;-;-;-;-;Трансформативност на планираните посебни мерки за родова еднаквост;-;0;-;-;-;-;;;;;средства во денари;;% од Буџетот за 2043;Назначени финансиски средства за реализација на родови програми;-;0,0%;3%;0;-;0,0%;Потрошени финансиски средства за реализација на родови програми;-;0,0%;2,6%;0;;0,0%
16,00;ГАЗИ БАБА;40,72;24;34366;35129;1410789000;1324411084;/;/;/;/;/;/;/;Родови јазови;36;71,38;62,33;-;-;-;Регистрирани годишни вработувања во 2021;44;0,81;0,86;4124;5111;0,81;Вработени лица;19;0,84;0,67;11554;13777;0,84;Лица со високо образование;3;1,39;1,02;5318;3821;1,39;Износ на месечна плата (нето);58;0,86;0,89;25250;29202;0,86;Износ на месечна пензија;58;0,82;0,84;14911;18273;0,82;Учество во Советот на општината (советнички и советници);23;0,69;0,58;11;16;0,69;Градоначалнички мандати;31;0;0,04;0;5;0;Овозможувачки услови;41;27,07;24,3;-;-;-;;;;;деца во градинка;деца до 6 години;% на згрижени;Згрижени деца во државни градинки;29;27,8;20,19;1468;5281;27,8;** Моментален капацитет на градинките (во број на деца);-;-;-;1701;5281;-;;;;;градинки;деца до 6 години;стапка на 1000 деца;Државни детски градинки;44;0,38;1,3;2;5281;0,38;** Приватни детски градинки;-;-;-;-;5281;-;;;;;Број;жени над 15 години;жени над 15 години;Матични гинеколози;31;0,17;0,13;5;29485;0,17;Родово одговорна општина;17;39,03;27,4;;;;Kоординатор за еднакви можности;-;1;-;-;-;-;Комисија за еднакви можности;-;1;-;-;-;-;Годишен извештај поднесен до МТСП;-;1;-;-;-;-;Документ со посебни мерки за родова еднаквост;-;1;-;-;-;-;Трансформативност на планираните посебни мерки за родова еднаквост;-;2;-;-;-;-;;;;;средства во денари;;% од Буџетот за 2044;Назначени финансиски средства за реализација на родови програми;-;1,4%;3%;200000;-;1,4%;Потрошени финансиски средства за реализација на родови програми;-;1,3%;2,6%;170000;;1,3%
51,00;НЕГОТИНО;39,64;25;9149;9039;479390656;390565335;/;/;/;/;/;/;/;Родови јазови;45;62,04;62,33;-;-;-;Регистрирани годишни вработувања во 2021;53;0,76;0,86;761;1004;0,76;Вработени лица;29;0,77;0,67;3255;4240;0,77;Лица со високо образование;26;1,15;1,02;1330;1161;1,15;Износ на месечна плата (нето);37;0,9;0,89;21972;24357;0,9;Износ на месечна пензија;40;0,84;0,84;13943;16659;0,84;Учество во Советот на општината (советнички и советници);54;0,5;0,58;5;10;0,5;Градоначалнички мандати;57;0;0,04;0;5;0;Овозможувачки услови;9;42,57;24,3;-;-;-;;;;;деца во градинка;деца до 6 години;% на згрижени;Згрижени деца во државни градинки;7;43,81;20,19;545;1244;43,81;** Моментален капацитет на градинките (во број на деца);-;-;-;605;1244;-;;;;;градинки;деца до 6 години;стапка на 1000 деца;Државни детски градинки;32;0,8;1,3;1;1244;0,8;** Приватни детски градинки;-;-;-;-;1244;-;;;;;Број;жени над 15 години;жени над 15 години;Матични гинеколози;15;0,26;0,13;2;7716;0,26;Родово одговорна општина;38;25,5;27,4;;;;Kоординатор за еднакви можности;-;1;-;-;-;-;Комисија за еднакви можности;-;1;-;-;-;-;Годишен извештај поднесен до МТСП;-;1;-;-;-;-;Документ со посебни мерки за родова еднаквост;-;0;-;-;-;-;Трансформативност на планираните посебни мерки за родова еднаквост;-;1;-;-;-;-;;;;;средства во денари;;% од Буџетот за 2045;Назначени финансиски средства за реализација на родови програми;-;0,0%;3%;0;-;0,0%;Потрошени финансиски средства за реализација на родови програми;-;-;2,6%;нема информација;;-
62,00;РЕСЕН;39,09;26;7209;7197;365461416;262196470;/;/;/;/;/;/;/;Родови јазови;26;76,4;62,33;-;-;-;Регистрирани годишни вработувања во 2021;52;0,77;0,86;380;491;0,77;Вработени лица;28;0,77;0,67;2053;2675;0,77;Лица со високо образование;46;1,01;1,02;1366;1354;1,01;Износ на месечна плата (нето);24;0,92;0,89;23094;24968;0,92;Износ на месечна пензија;19;0,89;0,84;14259;16048;0,89;Учество во Советот на општината (советнички и советници);6;0,88;0,58;7;8;0,88;Градоначалнички мандати;17;0;0,04;0;5;0;Овозможувачки услови;33;27,76;24,3;-;-;-;;;;;деца во градинка;деца до 6 години;% на згрижени;Згрижени деца во државни градинки;38;24,14;20,19;196;812;24,14;** Моментален капацитет на градинките (во број на деца);-;-;-;231;812;-;;;;;градинки;деца до 6 години;стапка на 1000 деца;Државни детски градинки;25;1,23;1,3;1;812;1,23;** Приватни детски градинки;-;-;-;-;812;-;;;;;Број;жени над 15 години;жени над 15 години;Матични гинеколози;33;0,16;0,13;1;6265;0,16;Родово одговорна општина;33;31,75;27,4;;;;Kоординатор за еднакви можности;-;1;-;-;-;-;Комисија за еднакви можности;-;1;-;-;-;-;Годишен извештај поднесен до МТСП;-;1;-;-;-;-;Документ со посебни мерки за родова еднаквост;-;1;-;-;-;-;Трансформативност на планираните посебни мерки за родова еднаквост;-;1;-;-;-;-;;;;;средства во денари;;% од Буџетот за 2046;Назначени финансиски средства за реализација на родови програми;-;0,1%;3%;5000;-;0,1%;Потрошени финансиски средства за реализација на родови програми;-;-;2,6%;нема информација;;-
36,00;КИСЕЛА ВОДА;38,48;27;29922;31988;1230638491;798255427;/;/;/;/;/;/;/;Родови јазови;6;89,09;62,33;-;-;-;Регистрирани годишни вработувања во 2021;47;0,8;0,86;4582;5753;0,8;Вработени лица;6;0,97;0,67;13567;13934;0,97;Лица со високо образование;5;1,35;1,02;8735;6462;1,35;Износ на месечна плата (нето);51;0,87;0,89;29575;33908;0,87;Износ на месечна пензија;57;0,82;0,84;16786;20562;0,82;Учество во Советот на општината (советнички и советници);15;0,77;0,58;10;13;0,77;Градоначалнички мандати;5;0,25;0,04;1;4;0,25;Овозможувачки услови;27;32,35;24,3;-;-;-;;;;;деца во градинка;деца до 6 години;% на згрижени;Згрижени деца во државни градинки;11;39,97;20,19;1784;4463;39,97;** Моментален капацитет на градинките (во број на деца);-;-;-;1867;4463;-;;;;;градинки;деца до 6 години;стапка на 1000 деца;Државни детски градинки;41;0,45;1,3;2;4463;0,45;** Приватни детски градинки;-;-;-;2;4463;-;;;;;Број;жени над 15 години;жени над 15 години;Матични гинеколози;36;0,11;0,13;3;27480;0,11;Родово одговорна општина;52;19,32;27,4;;;;Kоординатор за еднакви можности;-;1;-;-;-;-;Комисија за еднакви можности;-;1;-;-;-;-;Годишен извештај поднесен до МТСП;-;1;-;-;-;-;Документ со посебни мерки за родова еднаквост;-;0;-;-;-;-;Трансформативност на планираните посебни мерки за родова еднаквост;-;0;-;-;-;-;;;;;средства во денари;;% од Буџетот за 2047;Назначени финансиски средства за реализација на родови програми;-;0,7%;3%;80000;-;0,7%;Потрошени финансиски средства за реализација на родови програми;-;-;2,6%;нема информација;;-
42,00;КРИВОГАШТАНИ;38,45;28;2716;2445;121938507;85325555;/;/;/;/;/;/;/;Родови јазови;9;86,36;62,33;-;-;-;Регистрирани годишни вработувања во 2021;18;1,02;0,86;104;102;1,02;Вработени лица;31;0,73;0,67;1012;1383;0,73;Лица со високо образование;53;0,94;1,02;166;176;0,94;Износ на месечна плата (нето);16;0,95;0,89;20361;21456;0,95;Износ на месечна пензија;2;0,96;0,84;11147;11671;0,96;Учество во Советот на општината (советнички и советници);7;0,83;0,58;5;6;0,83;Градоначалнички мандати;18;0;0,04;0;5;0;Овозможувачки услови;39;27,11;24,3;-;-;-;;;;;деца во градинка;деца до 6 години;% на згрижени;Згрижени деца во државни градинки;44;20,14;20,19;59;293;20,14;** Моментален капацитет на градинките (во број на деца);-;-;-;63;293;-;;;;;градинки;деца до 6 години;стапка на 1000 деца;Државни детски градинки;10;3,41;1,3;1;293;3,41;** Приватни детски градинки;-;-;-;-;293;-;;;;;Број;жени над 15 години;жени над 15 години;Матични гинеколози;49;0;0,13;0;2126;0;Родово одговорна општина;39;25,5;27,4;;;;Kоординатор за еднакви можности;-;1;-;-;-;-;Комисија за еднакви можности;-;1;-;-;-;-;Годишен извештај поднесен до МТСП;-;1;-;-;-;-;Документ со посебни мерки за родова еднаквост;-;1;-;-;-;-;Трансформативност на планираните посебни мерки за родова еднаквост;-;0;-;-;-;-;;;;;средства во денари;;% од Буџетот за 2048;Назначени финансиски средства за реализација на родови програми;-;4,1%;3%;50000;-;4,1%;Потрошени финансиски средства за реализација на родови програми;-;0,0%;2,6%;0;;0,0%
13,00;ВЕЛЕС;37,36;29;24148;24394;1226142434;873556904;/;/;/;/;/;/;/;Родови јазови;28;75,58;62,33;-;-;-;Регистрирани годишни вработувања во 2021;25;0,94;0,86;1894;2011;0,94;Вработени лица;16;0,86;0,67;8053;9351;0,86;Лица со високо образование;9;1,29;1,02;4000;3100;1,29;Износ на месечна плата (нето);44;0,89;0,89;23454;26262;0,89;Износ на месечна пензија;41;0,84;0,84;14421;17263;0,84;Учество во Советот на општината (советнички и советници);34;0,64;0,58;9;14;0,64;Градоначалнички мандати;41;0;0,04;0;5;0;Овозможувачки услови;23;36,37;24,3;-;-;-;;;;;деца во градинка;деца до 6 години;% на згрижени;Згрижени деца во државни градинки;19;34,97;20,19;1132;3237;34,97;** Моментален капацитет на градинките (во број на деца);-;-;-;982;3237;-;;;;;градинки;деца до 6 години;стапка на 1000 деца;Државни детски градинки;50;0,31;1,3;1;3237;0,31;** Приватни детски градинки;-;-;-;-;3237;-;;;;;Број;жени над 15 години;жени над 15 години;Матични гинеколози;10;0,29;0,13;6;20766;0,29;Родово одговорна општина;55;19,25;27,4;;;;Kоординатор за еднакви можности;-;1;-;-;-;-;Комисија за еднакви можности;-;1;-;-;-;-;Годишен извештај поднесен до МТСП;-;1;-;-;-;-;Документ со посебни мерки за родова еднаквост;-;0;-;-;-;-;Трансформативност на планираните посебни мерки за родова еднаквост;-;0;-;-;-;-;;;;;средства во денари;;% од Буџетот за 2049;Назначени финансиски средства за реализација на родови програми;-;0,0%;3%;0;-;0,0%;Потрошени финансиски средства за реализација на родови програми;-;0,0%;2,6%;0;;0,0%
48,00;МАКЕДОНСКА КАМЕНИЦА;37,21;30;3332;3109;337985290;238013992;/;/;/;/;/;/;/;Родови јазови;76;23,79;62,33;-;-;-;Регистрирани годишни вработувања во 2021;38;0,87;0,86;223;257;0,87;Вработени лица;51;0,63;0,67;826;1301;0,63;Лица со високо образование;37;1,07;1,02;314;293;1,07;Износ на месечна плата (нето);81;0,55;0,89;22322;40658;0,55;Износ на месечна пензија;81;0,63;0,84;14916;23598;0,63;Учество во Советот на општината (советнички и советници);45;0,57;0,58;4;7;0,57;Градоначалнички мандати;8;0,25;0,04;1;4;0,25;Овозможувачки услови;22;36,68;24,3;-;-;-;;;;;деца во градинка;деца до 6 години;% на згрижени;Згрижени деца во државни градинки;12;39,61;20,19;143;361;39,61;** Моментален капацитет на градинките (во број на деца);-;-;-;164;361;-;;;;;градинки;деца до 6 години;стапка на 1000 деца;Државни детски градинки;15;2,77;1,3;1;361;2,77;** Приватни детски градинки;-;-;-;-;361;-;;;;;Број;жени над 15 години;жени над 15 години;Матични гинеколози;53;0;0,13;0;2703;0;Родово одговорна општина;11;44,46;27,4;;;;Kоординатор за еднакви можности;-;1;-;-;-;-;Комисија за еднакви можности;-;1;-;-;-;-;Годишен извештај поднесен до МТСП;-;1;-;-;-;-;Документ со посебни мерки за родова еднаквост;-;1;-;-;-;-;Трансформативност на планираните посебни мерки за родова еднаквост;-;3;-;-;-;-;;;;;средства во денари;;% од Буџетот за 2050;Назначени финансиски средства за реализација на родови програми;-;2,2%;3%;75000;-;2,2%;Потрошени финансиски средства за реализација на родови програми;-;-;2,6%;нема информација;;-
24,00;ДЕМИР ХИСАР;36,88;31;3766;3513;182272219;147406651;/;/;/;/;/;/;/;Родови јазови;24;77,6;62,33;-;-;-;Регистрирани годишни вработувања во 2021;13;1,08;0,86;263;244;1,08;Вработени лица;35;0,7;0,67;1151;1645;0,7;Лица со високо образование;43;1,04;1,02;482;462;1,04;Износ на месечна плата (нето);12;0,96;0,89;23368;24355;0,96;Износ на месечна пензија;55;0,82;0,84;12644;15446;0,82;Учество во Советот на општината (советнички и советници);8;0,83;0,58;5;6;0,83;Градоначалнички мандати;19;0;0,04;0;5;0;Овозможувачки услови;25;34,16;24,3;-;-;-;;;;;деца во градинка;деца до 6 години;% на згрижени;Згрижени деца во државни градинки;21;33,23;20,19;106;319;33,23;** Моментален капацитет на градинките (во број на деца);-;-;-;120;319;-;;;;;градинки;деца до 6 години;стапка на 1000 деца;Државни детски градинки;13;3,13;1,3;1;319;3,13;** Приватни детски градинки;-;-;-;-;319;-;;;;;Број;жени над 15 години;жени над 15 години;Матични гинеколози;52;0;0,13;0;3140;0;Родово одговорна општина;50;19,36;27,4;;;;Kоординатор за еднакви можности;-;1;-;-;-;-;Комисија за еднакви можности;-;1;-;-;-;-;Годишен извештај поднесен до МТСП;-;1;-;-;-;-;Документ со посебни мерки за родова еднаквост;-;0;-;-;-;-;Трансформативност на планираните посебни мерки за родова еднаквост;-;0;-;-;-;-;;;;;средства во денари;;% од Буџетот за 2051;Назначени финансиски средства за реализација на родови програми;-;0,0%;3%;0;-;0,0%;Потрошени финансиски средства за реализација на родови програми;-;0,0%;2,6%;0;;0,0%
10,00;ВАЛАНДОВО;36,7;32;5406;5114;292974000;241574450;/;/;/;/;/;/;/;Родови јазови;16;83,05;62,33;-;-;-;Регистрирани годишни вработувања во 2021;7;1,2;0,86;517;431;1,2;Вработени лица;34;0,7;0,67;1646;2359;0,7;Лица со високо образование;56;0,93;1,02;544;585;0,93;Износ на месечна плата (нето);30;0,91;0,89;20231;22122;0,91;Износ на месечна пензија;11;0,91;0,84;12808;14107;0,91;Учество во Советот на општината (советнички и советници);4;0,88;0,58;7;8;0,88;Градоначалнички мандати;15;0;0,04;0;5;0;Овозможувачки услови;21;37,08;24,3;-;-;-;;;;;деца во градинка;деца до 6 години;% на згрижени;Згрижени деца во државни градинки;23;32,64;20,19;219;671;32,64;** Моментален капацитет на градинките (во број на деца);-;-;-;238;671;-;;;;;градинки;деца до 6 години;стапка на 1000 деца;Државни детски градинки;21;1,49;1,3;1;671;1,49;** Приватни детски градинки;-;-;-;-;671;-;;;;;Број;жени над 15 години;жени над 15 години;Матични гинеколози;19;0,23;0,13;1;4354;0,23;Родово одговорна општина;69;13,29;27,4;;;;Kоординатор за еднакви можности;-;1;-;-;-;-;Комисија за еднакви можности;-;1;-;-;-;-;Годишен извештај поднесен до МТСП;-;0;-;-;-;-;Документ со посебни мерки за родова еднаквост;-;0;-;-;-;-;Трансформативност на планираните посебни мерки за родова еднаквост;-;0;-;-;-;-;;;;;средства во денари;;% од Буџетот за 2052;Назначени финансиски средства за реализација на родови програми;-;1,7%;3%;50000;-;1,7%;Потрошени финансиски средства за реализација на родови програми;-;0,0%;2,6%;0;;0,0%
25,00;ДОЈРАН;36,61;33;1567;1517;436801000;144305342;/;/;/;/;/;/;/;Родови јазови;53;55,82;62,33;-;-;-;Регистрирани годишни вработувања во 2021;71;0,57;0,86;120;212;0,57;Вработени лица;33;0,71;0,67;481;677;0,71;Лица со високо образование;55;0,93;1,02;200;214;0,93;Износ на месечна плата (нето);64;0,86;0,89;19847;23109;0,86;Износ на месечна пензија;45;0,84;0,84;12578;14998;0,84;Учество во Советот на општината (советнички и советници);10;0,8;0,58;4;5;0,8;Градоначалнички мандати;20;0;0,04;0;5;0;Овозможувачки услови;18;38,11;24,3;-;-;-;;;;;деца во градинка;деца до 6 години;% на згрижени;Згрижени деца во државни градинки;37;25,27;20,19;47;186;25,27;** Моментален капацитет на градинките (во број на деца);-;-;-;49;186;-;;;;;градинки;деца до 6 години;стапка на 1000 деца;Државни детски градинки;4;5,38;1,3;1;186;5,38;** Приватни детски градинки;-;-;-;-;186;-;;;;;Број;жени над 15 години;жени над 15 години;Матични гинеколози;43;0;0,13;0;1299;0;Родово одговорна општина;40;25,5;27,4;;;;Kоординатор за еднакви можности;-;1;-;-;-;-;Комисија за еднакви можности;-;1;-;-;-;-;Годишен извештај поднесен до МТСП;-;1;-;-;-;-;Документ со посебни мерки за родова еднаквост;-;0;-;-;-;-;Трансформативност на планираните посебни мерки за родова еднаквост;-;1;-;-;-;-;;;;;средства во денари;;% од Буџетот за 2053;Назначени финансиски средства за реализација на родови програми;-;;3%;нема информација;-;-;Потрошени финансиски средства за реализација на родови програми;-;-;2,6%;нема информација;;-
53,00;НОВО СЕЛО;36,56;34;3512;3479;210872000;168048605;/;/;/;/;/;/;/;Родови јазови;33;72,11;62,33;-;-;-;Регистрирани годишни вработувања во 2021;19;1;0,86;346;345;1;Вработени лица;58;0,6;0,67;884;1464;0,6;Лица со високо образование;67;0,79;1,02;225;286;0,79;Износ на месечна плата (нето);1;1,02;0,89;20781;20362;1,02;Износ на месечна пензија;27;0,87;0,84;10430;11990;0,87;Учество во Советот на општината (советнички и советници);26;0,67;0,58;6;9;0,67;Градоначалнички мандати;33;0;0,04;0;5;0;Овозможувачки услови;31;29,84;24,3;-;-;-;;;;;деца во градинка;деца до 6 години;% на згрижени;Згрижени деца во државни градинки;39;23,19;20,19;64;276;23,19;** Моментален капацитет на градинките (во број на деца);-;-;-;60;276;-;;;;;градинки;деца до 6 години;стапка на 1000 деца;Државни детски градинки;8;3,62;1,3;1;276;3,62;** Приватни детски градинки;-;-;-;-;276;-;;;;;Број;жени над 15 години;жени над 15 години;Матични гинеколози;47;0;0,13;0;3134;0;Родово одговорна општина;41;25,5;27,4;;;;Kоординатор за еднакви можности;-;1;-;-;-;-;Комисија за еднакви можности;-;1;-;-;-;-;Годишен извештај поднесен до МТСП;-;1;-;-;-;-;Документ со посебни мерки за родова еднаквост;-;0;-;-;-;-;Трансформативност на планираните посебни мерки за родова еднаквост;-;1;-;-;-;-;;;;;средства во денари;;% од Буџетот за 2054;Назначени финансиски средства за реализација на родови програми;-;0,0%;3%;0;-;0,0%;Потрошени финансиски средства за реализација на родови програми;-;0,0%;2,6%;0;;0,0%
